id_master,descripcion_master,tipo_master,diametro_master,largo_master,grado_master,acabado_master,id_proveedor,tipo_proveedor,diametro_proveedor,largo_proveedor,grado_proveedor,acabado_proveedor,precio_unitario,proveedor,descripcion_proveedor,score_atributos,score_descripcion,score_final
BHG2NC095032Z,"BULON HEXAGONAL G2 3/8-UNC-1,1/4 ZINC",bulón,3/8,1.1/4,G2,zinc,CAR-G2--1--308--214--RT--1--1,bulón,3/8,2 1/4,G2,zinc,246.2644,Borroni,BU CAR G2 - 3/8 x 2 1/4  ZA,82.35,63.49,74.81
BHG2NC095019Z,BULON HEXAGONAL G2 3/8-UNC-3/4 ZINC,bulón,3/8,3/4,G2,zinc,CAR-G2--1--308--234--RT--1--1,bulón,3/8,2 3/4,G2,zinc,294.8033,Borroni,BU CAR G2 - 3/8 x 2 3/4  ZA,82.35,66.67,76.08
BHG2NC095076Z,BULON HEXAGONAL G2 3/8-UNC-3 ZINC,bulón,3/8,3,G2,zinc,CAR-G2--1--308--300--RT--1--1,bulón,3/8,3,G2,zinc,315.6032,Borroni,BU CAR G2 - 3/8 x 3  ZA,100.0,66.67,86.67
BHG2NC095076Z,BULON HEXAGONAL G2 3/8-UNC-3 ZINC,bulón,3/8,3,G2,zinc,CAR-G2--1--308--300--RT--2--1,bulón,3/8,3,G2,,315.6032,Borroni,BU CAR G2 - 3/8 x 3  ZD,100.0,66.67,86.67
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,CAR-G2--1--308--312--RT--1--1,bulón,3/8,3 1/2,G2,zinc,364.1389,Borroni,BU CAR G2 - 3/8 x 3 1/2  ZA,82.35,66.67,76.08
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,CAR-G2--1--308--312--RT--2--1,bulón,3/8,3 1/2,G2,,364.1389,Borroni,BU CAR G2 - 3/8 x 3 1/2  ZD,80.0,66.67,74.67
BHG2NC095032Z,"BULON HEXAGONAL G2 3/8-UNC-1,1/4 ZINC",bulón,3/8,1.1/4,G2,zinc,CAR-G2--1--308--314--RT--1--1,bulón,3/8,3 1/4,G2,zinc,336.4216,Borroni,BU CAR G2 - 3/8 x 3 1/4  ZA,82.35,63.49,74.81
BHG2NC095012Z,BULON HEXAGONAL G2 3/8-UNC-1/2 ZINC,bulón,3/8,1/2,G2,zinc,CAR-G2--1--308--412--RT--1--1,bulón,3/8,4 1/2,G2,zinc,425.6209,Borroni,BU CAR G2 - 3/8 x 4 1/2  ZA,82.35,66.67,76.08
BHG2NC095125Z,BULON HEXAGONAL G2 3/8-UNC-5 ZINC,bulón,3/8,5,G2,zinc,CAR-G2--1--308--500--RT--1--1,bulón,3/8,5,G2,zinc,466.0782,Borroni,BU CAR G2 - 3/8 x 5  ZA,100.0,66.67,86.67
BHG2NC079019Z,BULON HEXAGONAL G2 5/16-UNC-3/4 ZINC,bulón,5/16,3/4,G2,zinc,CAR-G2--1--516--134--RT--1--1,bulón,5/16,1 3/4,G2,zinc,143.1913,Borroni,BU CAR G2 - 5/16 x 1 3/4  ZA,82.35,68.42,76.78
BHG2NC079050Z,BULON HEXAGONAL G2 5/16-UNC-2 ZINC,bulón,5/16,2,G2,zinc,CAR-G2--1--516--200--RT--1--1,bulón,5/16,2,G2,zinc,157.1101,Borroni,BU CAR G2 - 5/16 x 2  ZA,100.0,68.75,87.5
BHG2NC079050Z,BULON HEXAGONAL G2 5/16-UNC-2 ZINC,bulón,5/16,2,G2,zinc,CAR-G2--1--516--200--RT--2--1,bulón,5/16,2,G2,,157.1101,Borroni,BU CAR G2 - 5/16 x 2  ZD,100.0,68.75,87.5
BHG2NC079032Z,"BULON HEXAGONAL G2 5/16-UNC-1,1/4 ZINC",bulón,5/16,1.1/4,G2,zinc,CAR-G2--1--516--214--RT--1--1,bulón,5/16,2 1/4,G2,zinc,171.0127,Borroni,BU CAR G2 - 5/16 x 2 1/4  ZA,82.35,64.62,75.26
BHG2NC079019Z,BULON HEXAGONAL G2 5/16-UNC-3/4 ZINC,bulón,5/16,3/4,G2,zinc,CAR-G2--1--516--234--RT--1--1,bulón,5/16,2 3/4,G2,zinc,203.4486,Borroni,BU CAR G2 - 5/16 x 2 3/4  ZA,82.35,68.42,76.78
BHG2NC079076Z,BULON HEXAGONAL G2 5/16-UNC-3 ZINC,bulón,5/16,3,G2,zinc,CAR-G2--1--516--300--RT--1--1,bulón,5/16,3,G2,zinc,217.3523,Borroni,BU CAR G2 - 5/16 x 3  ZA,100.0,68.75,87.5
BHG2NC079076Z,BULON HEXAGONAL G2 5/16-UNC-3 ZINC,bulón,5/16,3,G2,zinc,CAR-G2--1--516--300--RT--2--1,bulón,5/16,3,G2,,217.3523,Borroni,BU CAR G2 - 5/16 x 3  ZD,100.0,68.75,87.5
BHG2NC079032Z,"BULON HEXAGONAL G2 5/16-UNC-1,1/4 ZINC",bulón,5/16,1.1/4,G2,zinc,CAR-G2--1--516--314--RT--1--1,bulón,5/16,3 1/4,G2,zinc,231.103,Borroni,BU CAR G2 - 5/16 x 3 1/4  ZA,82.35,64.62,75.26
BHG2NC125076Z,BULON HEXAGONAL G2 1/2-UNC-3 ZINC,bulón,1/2,3,G2,zinc,CAR-G2--3--102--300--RT--1--1,bulón,1/2,3,G2,zinc,580.3417,Borroni,BU CAR G2 - 1/2 x 3 RP ZA,100.0,60.61,84.24
BHG2NC125076Z,BULON HEXAGONAL G2 1/2-UNC-3 ZINC,bulón,1/2,3,G2,zinc,CAR-G2--3--102--300--RT--2--1,bulón,1/2,3,G2,,580.3417,Borroni,BU CAR G2 - 1/2 x 3 RP ZD,100.0,60.61,84.24
BHG2WH125025Z,BULON HEXAGONAL G2 1/2-WHT-1 ZINC,bulón,1/2,,G2,zinc,CAR-G2--3--102--312--RT--1--1,bulón,1/2,3 1/2,G2,zinc,664.8716,Borroni,BU CAR G2 - 1/2 x 3 1/2 RP ZA,100.0,55.17,82.07
BHG2WH125025Z,BULON HEXAGONAL G2 1/2-WHT-1 ZINC,bulón,1/2,,G2,zinc,CAR-G2--3--102--312--RT--2--1,bulón,1/2,3 1/2,G2,,664.8716,Borroni,BU CAR G2 - 1/2 x 3 1/2 RP ZD,100.0,55.17,82.07
BHG2NC125125Z,BULON HEXAGONAL G2 1/2-UNC-5 ZINC,bulón,1/2,5,G2,zinc,CAR-G2--3--102--500--RT--1--1,bulón,1/2,5,G2,zinc,876.202,Borroni,BU CAR G2 - 1/2 x 5 RP ZA,100.0,60.61,84.24
BHG2NC125125Z,BULON HEXAGONAL G2 1/2-UNC-5 ZINC,bulón,1/2,5,G2,zinc,CAR-G2--3--102--500--RT--2--1,bulón,1/2,5,G2,,876.202,Borroni,BU CAR G2 - 1/2 x 5 RP ZD,100.0,60.61,84.24
BHG2NC125155Z,BULON HEXAGONAL G2 1/2-UNC-6 ZINC,bulón,1/2,6,G2,zinc,CAR-G2--3--102--600--RT--1--1,bulón,1/2,6,G2,zinc,1136.848,Borroni,BU CAR G2 - 1/2 x 6 RP ZA,100.0,60.61,84.24
BHG2NC125175Z,BULON HEXAGONAL G2 1/2-UNC-7 ZINC,bulón,1/2,7,G2,zinc,CAR-G2--3--102--700--RT--1--1,bulón,1/2,7,G2,zinc,1273.0165,Borroni,BU CAR G2 - 1/2 x 7 RP ZA,100.0,60.61,84.24
BCRG2WH065019Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 3/4 ZINC,bulón,1/4,3/4,G2,zinc,CAT-G2--1--104--034--RT--1--1,bulón,1/4,3/4,G2,zinc,71.078,Borroni,BU CAR C/ TCA. G2 - 1/4 x 3/4 ZA,100.0,75.36,90.14
BCRG2WH065025Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 1 ZINC,bulón,1/4,1,G2,zinc,CAT-G2--1--104--100--RT--1--1,bulón,1/4,1,G2,zinc,79.9931,Borroni,BU CAR C/ TCA. G2 - 1/4 x 1 ZA,100.0,73.85,89.54
BCRG2WH065038Z,"BUL. C/RED. C/ CUAD. G2 1/4-WH- 1,1/2 ZINC",bulón,1/4,1.1/2,G2,zinc,CAT-G2--1--104--112--RT--1--1,bulón,1/4,1 1/2,G2,zinc,99.3253,Borroni,BU CAR C/ TCA. G2 - 1/4 x 1 1/2  ZA,82.35,73.97,79.0
BCRG2WH065025Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 1 ZINC,bulón,1/4,1,G2,zinc,CAT-G2--1--104--114--RT--1--1,bulón,1/4,1 1/4,G2,zinc,90.4087,Borroni,BU CAR C/ TCA. G2 - 1/4 x 1 1/4  ZA,82.35,73.85,78.95
BCRG2WH065044Z,"BUL. C/RED. C/ CUAD. G2 1/4-WH- 1,3/4 ZINC",bulón,1/4,1.3/4,G2,zinc,CAT-G2--1--104--134--RP--1--1,bulón,1/4,1 3/4,G2,zinc,108.1954,Borroni,BU CAR C/ TCA. G2 - 1/4 x 1 3/4 ZA,82.35,73.97,79.0
BCRG2WH065050Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 2 ZINC,bulón,1/4,2,G2,zinc,CAT-G2--1--104--200--RP--1--1,bulón,1/4,2,G2,zinc,117.1762,Borroni,BU CAR C/ TCA. G2 - 1/4 x 2 ZA,100.0,73.85,89.54
BCRG2WH065012Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 1/2 ZINC,bulón,1/4,1/2,G2,zinc,CAT-G2--1--104--212--RP--1--1,bulón,1/4,2 1/2,G2,zinc,136.4936,Borroni,BU CAR C/ TCA. G2 - 1/4 x 2 1/2 ZA,82.35,73.24,78.71
BCRG2WH065050Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 2 ZINC,bulón,1/4,2,G2,zinc,CAT-G2--1--104--214--RP--1--1,bulón,1/4,2 1/4,G2,zinc,126.0892,Borroni,BU CAR C/ TCA. G2 - 1/4 x 2 1/4 ZA,82.35,73.85,78.95
BCRG2WH065070Z,"BUL. C/RED. C/ CUAD. G2 1/4-WH- 2,3/4 ZINC",bulón,1/4,2.3/4,G2,zinc,CAT-G2--1--104--234--RP--1--1,bulón,1/4,2 3/4,G2,zinc,146.756,Borroni,BU CAR C/ TCA. G2 - 1/4 x 2 3/4 ZA,82.35,73.97,79.0
BCRG2WH065076Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 3 ZINC,bulón,1/4,3,G2,zinc,CAT-G2--1--104--300--RP--1--1,bulón,1/4,3,G2,zinc,155.82,Borroni,BU CAR C/ TCA. G2 - 1/4 x 3 ZA,100.0,73.85,89.54
BCRG2WH065012Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 1/2 ZINC,bulón,1/4,1/2,G2,zinc,CAT-G2--1--104--312--RP--1--1,bulón,1/4,3 1/2,G2,zinc,176.6342,Borroni,BU CAR C/ TCA. G2 - 1/4 x 3 1/2 ZA,82.35,73.24,78.71
BCRG2WH065076Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 3 ZINC,bulón,1/4,3,G2,zinc,CAT-G2--1--104--314--RP--1--1,bulón,1/4,3 1/4,G2,zinc,164.6188,Borroni,BU CAR C/ TCA. G2 - 1/4 x 3 1/4 ZA,82.35,73.85,78.95
BCRG2WH065100Z,BUL. C/RED. C/ CUAD. G2 1/4-WH- 4 ZINC,bulón,1/4,4,G2,zinc,CAT-G2--1--104--400--RP--1--1,bulón,1/4,4,G2,zinc,191.504,Borroni,BU CAR C/ TCA. G2 - 1/4 x 4 ZA,100.0,73.85,89.54
BCRG2WH095025Z,BUL. C/RED. C/ CUAD. G2 3/8-WH- 1 ZINC,bulón,3/8,1,G2,zinc,CAT-G2--1--308--100--RT--1--1,bulón,3/8,1,G2,zinc,214.1169,Borroni,BU CAR C/ TCA. G2 - 3/8 x 1 ZA,100.0,73.85,89.54
