codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_granel,precio_fraccionado,proveedor,descripcion
1040000000K0063,bulón,hexagonal,3/4,,2 1/2,G2,imperial,UNC,,1010.83295421864,1071.4829314717583,efepe,Bulon G2 Hex UNC 3/4 2 1/2
1040000000K0070,bulón,hexagonal,3/4,,2 3/4,G2,imperial,UNC,,1109.0402824284,1175.582699374104,efepe,Bulon G2 Hex UNC 3/4 2 3/4
1040000000K0076,bulón,hexagonal,3/4,,3,G2,imperial,UNC,,1187.41587744528,1258.6608300919966,efepe,Bulon G2 Hex UNC 3/4 3
1040000000K0082,bulón,hexagonal,3/4,,3 1/4,G2,imperial,UNC,,1267.7880230674457,1343.8553044514924,efepe,Bulon G2 Hex UNC 3/4 3 1/4
1040000000K0090,bulón,hexagonal,3/4,,3 1/2,G2,imperial,UNC,,1342.70347093344,1423.2656791894465,efepe,Bulon G2 Hex UNC 3/4 3 1/2
1040000000K0100,bulón,hexagonal,3/4,,4,G2,imperial,UNC,,1492.28303789376,1581.8200201673858,efepe,Bulon G2 Hex UNC 3/4 4
1040000000K0110,bulón,hexagonal,3/4,,4 1/2,G2,imperial,UNC,,1652.54685963696,1751.6996712151774,efepe,Bulon G2 Hex UNC 3/4 4 1/2
1040000000K0125,bulón,hexagonal,3/4,,5,G2,imperial,UNC,,1446.1435368221178,1532.9121490314449,efepe,Bulon G2 Hex UNC 3/4 5
1040000000K0140,bulón,hexagonal,3/4,,5 1/2,G2,imperial,UNC,,1923.45858022752,2038.8660950411715,efepe,Bulon G2 Hex UNC 3/4 5 1/2
1040000000K0155,bulón,hexagonal,3/4,,6,G2,imperial,UNC,,1664.1158503092029,1763.962801327755,efepe,Bulon G2 Hex UNC 3/4 6
1040000000K0175,bulón,hexagonal,3/4,,7,G2,imperial,UNC,,2384.8725205405267,2527.9648717729583,efepe,Bulon G2 Hex UNC 3/4 7
1040000000K0200,bulón,hexagonal,3/4,,8,G2,imperial,UNC,,2902.75102888848,3076.916090621789,efepe,Bulon G2 Hex UNC 3/4 8
1040000000K0225,bulón,hexagonal,3/4,,9,G2,imperial,UNC,,3232.0365865448334,3425.958781737524,efepe,Bulon G2 Hex UNC 3/4 9
1040000000K0250,bulón,hexagonal,3/4,,10,G2,imperial,UNC,,3677.43268047456,3898.078641303033,efepe,Bulon G2 Hex UNC 3/4 10
1040000000K0275,bulón,hexagonal,3/4,,11,G2,imperial,UNC,,4124.910160842773,4372.404770493339,efepe,Bulon G2 Hex UNC 3/4 11
1040000000K0300,bulón,hexagonal,3/4,,12,G2,imperial,UNC,,4377.824360485688,4640.4938221148295,efepe,Bulon G2 Hex UNC 3/4 12
1010000000C0019,bulón,redonda,3/16,,3/4,,imperial,,,30.517348875,32.3483898075,efepe,Bulon Cab. Redonda 3/16 3/4
1010000000D0019,bulón,redonda,1/4,,3/4,,imperial,,,41.93204103144,44.4479634933264,efepe,Bulon Cab. Redonda 1/4 3/4
1010000000D0025,bulón,redonda,1/4,,1,,imperial,,,48.518225486640006,51.42931901583841,efepe,Bulon Cab. Redonda 1/4 1
1010000000D0032,bulón,redonda,1/4,,1 1/4,,imperial,,,55.397129250960006,58.720957006017606,efepe,Bulon Cab. Redonda 1/4 1 1/4
1010000000D0038,bulón,redonda,1/4,,1 1/2,,imperial,,,62.27603301528,66.0125949961968,efepe,Bulon Cab. Redonda 1/4 1 1/2
1010000000D0044,bulón,redonda,1/4,,1 3/4,,imperial,,,69.1024443265703,73.24859098616453,efepe,Bulon Cab. Redonda 1/4 1 3/4
1010000000D0050,bulón,redonda,1/4,,2,,imperial,,,75.98873643883684,80.54806062516705,efepe,Bulon Cab. Redonda 1/4 2
1010000000D0056,bulón,redonda,1/4,,2 1/4,,imperial,,,82.87502855110338,87.84753026416959,efepe,Bulon Cab. Redonda 1/4 2 1/4
1010000000D0063,bulón,redonda,1/4,,2 1/2,,imperial,,,89.76132066336991,95.14699990317212,efepe,Bulon Cab. Redonda 1/4 2 1/2
1010000000D0070,bulón,redonda,1/4,,2 3/4,,imperial,,,96.58773197466022,102.38299589313982,efepe,Bulon Cab. Redonda 1/4 2 3/4
1010000000D0076,bulón,redonda,1/4,,3,,imperial,,,103.62263542848,109.8399935541888,efepe,Bulon Cab. Redonda 1/4 3
1010000000D0082,bulón,redonda,1/4,,3 1/4,,imperial,,,109.33066195632,115.8905016736992,efepe,Bulon Cab. Redonda 1/4 3 1/4
1010000000D0090,bulón,redonda,1/4,,3 1/2,,imperial,,,116.72270235031328,123.72606449133208,efepe,Bulon Cab. Redonda 1/4 3 1/2
1010000000D0100,bulón,redonda,1/4,,4,,imperial,,,130.37413178760735,138.1965796948638,efepe,Bulon Cab. Redonda 1/4 4
1010000000D0110,bulón,redonda,1/4,,4 1/2,,imperial,,,137.2296531207463,145.46343230799107,efepe,Bulon Cab. Redonda 1/4 4 1/2
1010000000D0125,bulón,redonda,1/4,,5,,imperial,,,157.70252778840003,167.16467945570403,efepe,Bulon Cab. Redonda 1/4 5
1010000000D0140,bulón,redonda,1/4,,5 1/2,,imperial,,,172.41167307168,182.7563734559808,efepe,Bulon Cab. Redonda 1/4 5 1/2
1010000000D0155,bulón,redonda,1/4,,6,,imperial,,,186.09630077304,197.2620788194224,efepe,Bulon Cab. Redonda 1/4 6
1010000000E0025,bulón,redonda,5/16,,1,,imperial,,,77.71697657135998,82.37999516564157,efepe,Bulon Cab. Redonda 5/16 1
1010000000E0032,bulón,redonda,5/16,,1 1/4,,imperial,,,90.81616565448002,96.26513559374882,efepe,Bulon Cab. Redonda 5/16 1 1/4
1010000000E0038,bulón,redonda,5/16,,1 1/2,,imperial,,,102.21247252789652,108.34522087957032,efepe,Bulon Cab. Redonda 5/16 1 1/2
1010000000E0044,bulón,redonda,5/16,,1 3/4,,imperial,,,111.37969712016,118.0624789473696,efepe,Bulon Cab. Redonda 5/16 1 3/4
