codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,descripcion
BHG2NC065155Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-6 ZINC
BHG2NC065175Z,bulón,hexagonal,1/4,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 1/4-UNC-7 ZINC
BHG2NC079012Z,bulón,hexagonal,5/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 5/16-UNC-1/2 ZINC
BHG2NC079016Z,bulón,hexagonal,5/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 5/16-UNC-5/8 ZINC
BHG2NC079019Z,bulón,hexagonal,5/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 5/16-UNC-3/4 ZINC
BHG2NC079022Z,bulón,hexagonal,5/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 5/16-UNC-7/8 ZINC
BHG2NC079032Z,bulón,hexagonal,5/16,1,1/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 5/16-UNC-1,1/4 ZINC"
BHG2NC079038Z,bulón,hexagonal,5/16,1,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 5/16-UNC-1,1/2 ZINC"
BHG2NC079044Z,bulón,hexagonal,5/16,1,3/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 5/16-UNC-1,3/4 ZINC"
BHG2NC079050Z,bulón,hexagonal,5/16,2,,G2,imperial,UNC,zinc,BULON HEXAGONAL G2 5/16-UNC-2 ZINC
BHG2NC079056Z,bulón,hexagonal,5/16,2,1/4,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 5/16-UNC-2,1/4 ZINC"
BHG2NC079063Z,bulón,hexagonal,5/16,2,1/2,G2,imperial,UNC,zinc,"BULON HEXAGONAL G2 5/16-UNC-2,1/2 ZINC"
