codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,otro,precio_unitario,proveedor,descripcion
1040000000K0225,bulón,3/4,,9,,imperial,3232.0365865448334,fleb,Bulon G2 Hex UNC 3/4 9
1040000000K0250,bulón,3/4,,10,,imperial,3677.4326804745597,fleb,Bulon G2 Hex UNC 3/4 10
1040000000K0275,bulón,3/4,,11,,imperial,4124.910160842773,fleb,Bulon G2 Hex UNC 3/4 11
1040000000K0300,bulón,3/4,,12,,imperial,4377.824360485688,fleb,Bulon G2 Hex UNC 3/4 12
1010000000C0019,bulón,3/16,,3/4,,imperial,30.517348874999996,fleb,Bulon Cab. Redonda 3/16 3/4
1010000000D0019,bulón,1/4,,3/4,,imperial,41.93204103144,fleb,Bulon Cab. Redonda 1/4 3/4
1010000000D0025,bulón,1/4,,1,,imperial,48.518225486640006,fleb,Bulon Cab. Redonda 1/4 1
1010000000D0032,bulón,1/4,,1,,imperial,55.397129250960006,fleb,Bulon Cab. Redonda 1/4 1 1/4
1010000000D0038,bulón,1/4,,1,,imperial,62.27603301528,fleb,Bulon Cab. Redonda 1/4 1 1/2
1010000000D0044,bulón,1/4,,1,,imperial,69.1024443265703,fleb,Bulon Cab. Redonda 1/4 1 3/4
1010000000D0050,bulón,1/4,,2,,imperial,75.98873643883684,fleb,Bulon Cab. Redonda 1/4 2
1010000000D0056,bulón,1/4,,2,,imperial,82.87502855110338,fleb,Bulon Cab. Redonda 1/4 2 1/4
1010000000D0063,bulón,1/4,,2,,imperial,89.76132066336991,fleb,Bulon Cab. Redonda 1/4 2 1/2
1010000000D0070,bulón,1/4,,2,,imperial,96.58773197466022,fleb,Bulon Cab. Redonda 1/4 2 3/4
1010000000D0076,bulón,1/4,,3,,imperial,103.62263542848001,fleb,Bulon Cab. Redonda 1/4 3
1010000000D0082,bulón,1/4,,3,,imperial,109.33066195632,fleb,Bulon Cab. Redonda 1/4 3 1/4
1010000000D0090,bulón,1/4,,3,,imperial,116.72270235031328,fleb,Bulon Cab. Redonda 1/4 3 1/2
1010000000D0100,bulón,1/4,,4,,imperial,130.37413178760735,fleb,Bulon Cab. Redonda 1/4 4
1010000000D0110,bulón,1/4,,4,,imperial,137.2296531207463,fleb,Bulon Cab. Redonda 1/4 4 1/2
