codigo,tipo,forma,diametro,paso,largo,grado,sistema,sistema_rosca,acabado,precio_unitario,proveedor,descripcion
CAT-G2--1--516--214--RP--1--1,bulón,,5/16,,2 1/4,G2,imperial,,zinc,214.0471,borroni,BU CAR C/ TCA. G2 - 5/16 x 2 1/4 ZA
CAT-G2--1--516--234--RP--1--1,bulón,,5/16,,2 3/4,G2,imperial,,zinc,247.6299,borroni,BU CAR C/ TCA. G2 - 5/16 x 2 3/4 ZA
CAT-G2--1--516--300--RP--1--1,bulón,,5/16,,3,G2,imperial,,zinc,262.0179,borroni,BU CAR C/ TCA. G2 - 5/16 x 3 ZA
CAT-G2--1--516--312--RP--1--1,bulón,,5/16,,3 1/2,G2,imperial,,zinc,280.4525,borroni,BU CAR C/ TCA. G2 - 5/16 x 3 1/2 ZA
CAT-G2--1--516--314--RP--1--1,bulón,,5/16,,3 1/4,G2,imperial,,zinc,276.2576,borroni,BU CAR C/ TCA. G2 - 5/16 x 3 1/4 ZA
CAT-G2--1--516--400--RP--1--1,bulón,,5/16,,4,G2,imperial,,zinc,319.5923,borroni,BU CAR C/ TCA. G2 - 5/16 x 4 ZA
CAT-G2--1--516--412--RP--1--1,bulón,,5/16,,4 1/2,G2,imperial,,zinc,343.583,borroni,BU CAR C/ TCA. G2 - 5/16 x 4 1/2 ZA
CAT-G2--1--516--500--RP--1--1,bulón,,5/16,,5,G2,imperial,,zinc,381.0846,borroni,BU CAR C/ TCA. G2 - 5/16 x 5 ZA
CAT-G2--1--516--512--RP--1--1,bulón,,5/16,,5 1/2,G2,imperial,,zinc,416.9286,borroni,BU CAR C/ TCA. G2 - 5/16 x 5 1/2 ZA
CAT-G2--1--516--600--RP--1--1,bulón,,5/16,,6,G2,imperial,,zinc,338.1836,borroni,BU CAR C/ TCA. G2 - 5/16 x 6 ZA
CAT-G2--1--516--700--RP--1--1,bulón,,5/16,,7,G2,imperial,,zinc,387.9172,borroni,BU CAR C/ TCA. G2 - 5/16 x 7 ZA
CAT-G2--1--516--800--RP--1--1,bulón,,5/16,,8,G2,imperial,,zinc,438.2298,borroni,BU CAR C/ TCA. G2 - 5/16 x 8 ZA
CAT-G2--3--102--134--RT--1--1,bulón,,1/2,,1 3/4,G2,imperial,,zinc,556.5901,borroni,BU CAR C/ TCA. G2 - 1/2 x 1 3/4 ZA
CAT-G2--3--102--200--RT--1--1,bulón,,1/2,,2,G2,imperial,,zinc,596.7948,borroni,BU CAR C/ TCA. G2 - 1/2 x 2 ZA
CAT-G2--3--102--212--RT--1--1,bulón,,1/2,,2 1/2,G2,imperial,,zinc,684.1024,borroni,BU CAR C/ TCA. G2 - 1/2 x 2 1/2 ZA
CAT-G2--3--102--214--RT--1--1,bulón,,1/2,,2 1/4,G2,imperial,,zinc,637.1525,borroni,BU CAR C/ TCA. G2 - 1/2 x 2 1/4 ZA
CAT-G2--3--102--234--RT--1--1,bulón,,1/2,,2 3/4,G2,imperial,,zinc,731.1394,borroni,BU CAR C/ TCA. G2 - 1/2 x 2 3/4 ZA
CAT-G2--3--102--300--RT--1--1,bulón,,1/2,,3,G2,imperial,,zinc,754.5524,borroni,BU CAR C/ TCA. G2 - 1/2 x 3 ZA
CAT-G2--3--102--312--RT--1--1,bulón,,1/2,,3 1/2,G2,imperial,,zinc,846.1525,borroni,BU CAR C/ TCA. G2 - 1/2 x 3 1/2 ZA
CAT-G2--3--102--314--RT--1--1,bulón,,1/2,,3 1/4,G2,imperial,,zinc,793.7843,borroni,BU CAR C/ TCA. G2 - 1/2 x 3 1/4 ZA
CAT-G2--3--102--400--RT--1--1,bulón,,1/2,,4,G2,imperial,,zinc,911.5376,borroni,BU CAR C/ TCA. G2 - 1/2 x 4 ZA
CAT-G2--3--102--512--RT--1--1,bulón,,1/2,,5 1/2,G2,imperial,,zinc,1247.3609,borroni,BU CAR C/ TCA. G2 - 1/2 x 5 1/2 ZA
CAT-G2--3--102--600--RT--1--1,bulón,,1/2,,6,G2,imperial,,zinc,1357.4499,borroni,BU CAR C/ TCA. G2 - 1/2 x 6 ZA
CAT-G2--3--102--700--RT--1--1,bulón,,1/2,,7,G2,imperial,,zinc,1504.1957,borroni,BU CAR C/ TCA. G2 - 1/2 x 7 ZA
CAT-G2--3--102--800--RT--1--1,bulón,,1/2,,8,G2,imperial,,zinc,1688.1605,borroni,BU CAR C/ TCA. G2 - 1/2 x 8 ZA
HEX-00--1--100--212--RP--2--2,bulón,hexagonal,1,,2 1/2,,imperial,,,4834.4851,borroni,BU HEX - A/325 - 1 x 2 1/2 RP ZD
HEX-00--1--100--214--RP--2--2,bulón,hexagonal,1,,2 1/4,,imperial,,,4505.3148,borroni,BU HEX - A/325 - 1 x 2 1/4 RP ZD
HEX-00--1--100--234--RP--2--2,bulón,hexagonal,1,,2 3/4,,imperial,,,5114.4124,borroni,BU HEX - A/325 - 1 x 2 3/4 RP ZD
HEX-00--1--100--300--RP--2--2,bulón,hexagonal,,,,,otro,,,5443.0662,borroni,BU HEX - A/325 - 1 x  3 RP ZD
HEX-00--1--100--312--RP--2--2,bulón,hexagonal,1,,3  1/2,,imperial,,,5990.8366,borroni,BU HEX - A/325 - 1 x  3  1/2 RP ZD
HEX-00--1--100--400--RP--2--2,bulón,hexagonal,,,,,otro,,,6575.294,borroni,BU HEX - A/325 - 1 x 4 RP ZD
HEX-00--1--100--412--RP--2--2,bulón,hexagonal,1,,4 1/2,,imperial,,,7207.6167,borroni,BU HEX - A/325 - 1 x 4 1/2 RP ZD
HEX-00--1--100--500--RP--2--2,bulón,hexagonal,,,,,otro,,,7792.9567,borroni,BU HEX - A/325 - 1 x 5 RP ZD
