codigo,descripcion_original,descripcion_borroni
>TUHG2MA24D,TUERCA HEXAGONAL G2 M24-3 DICRO,
>TUHG2MA27D,TUERCA HEXAGONAL G2 M27-3 DICRO,
>TUHG2MA30D,"TUERCA HEXAGONAL G2 M30-3,5 DICRO",
>TUHG2MB08D,TUERCA HEXAGONAL G2 M08-1 DICRO,
>TUHG2MB10D,"TUERCA HEXAGONAL G2 M10-1,25 DICRO",
>TUHG2MC12D,"TUERCA HEXAGONAL G2 M12-1,25 DICRO",
>TUHG2MB12D,"TUERCA HEXAGONAL G2 M12-1,5 DICRO",
>TUHG2MB14D,"TUERCA HEXAGONAL G2 M14-1,5 DICRO",
>TUHG2MB16D,"TUERCA HEXAGONAL G2 M16-1,5 DICRO",
>TUHG2MB18D,"TUERCA HEXAGONAL G2 M18-1,5 DICRO",
>TUHG2MB20D,"TUERCA HEXAGONAL G2 M20-1,5 DICRO",
>TUHG2MB22D,"TUERCA HEXAGONAL G2 M22-1,5 DICRO",
>TUHG2MB24D,TUERCA HEXAGONAL G2 M24-2 DICRO,
>BHG2NC047012Z,BULON HEXAGONAL G2 3/16-UNC-1/2 ZINC,
>BHG2NC047016Z,BULON HEXAGONAL G2 3/16-UNC-5/8 ZINC,
>BHG2NC047019Z,BULON HEXAGONAL G2 3/16-UNC-3/4 ZINC,
>BHG2NC047022Z,BULON HEXAGONAL G2 3/16-UNC-7/8 ZINC,
>BHG2NC047025Z,BULON HEXAGONAL G2 3/16-UNC-1 ZINC,
>BHG2NC047032Z,"BULON HEXAGONAL G2 3/16-UNC-1,1/4 ZINC",
>BHG2NC047038Z,"BULON HEXAGONAL G2 3/16-UNC-1,1/2 ZINC",
>BHG2NC047044Z,"BULON HEXAGONAL G2 3/16-UNC-1,3/4 ZINC",
>BHG2NC047050Z,BULON HEXAGONAL G2 3/16-UNC-2 ZINC,
>BHG2NC065009Z,BULON HEXAGONAL G2 1/4-UNC-3/8 ZINC,
>BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,
>BHG2NC065016Z,BULON HEXAGONAL G2 1/4-UNC-5/8 ZINC,
>BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,
>BHG2NC065022Z,BULON HEXAGONAL G2 1/4-UNC-7/8 ZINC,
