tipo_de_producto,codigo_de_producto,descripcion,unid_de_medida,cant_minimo,precio,fecha_de_vigencia,proveedor,hoja_origen
BUL,CAT-G2--1--516--134--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 1 3/4 ZA,UN,800,185.225,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--200--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 ZA,UN,400,199.6393,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--212--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 1/2 ZA,UN,400,230.838,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--214--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 1/4 ZA,UN,400,214.0471,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--234--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 2 3/4 ZA,UN,400,247.6299,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--300--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 3 ZA,UN,400,262.0179,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--312--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 3 1/2 ZA,UN,400,280.4525,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--314--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 3 1/4 ZA,UN,400,276.2576,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--400--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 4 ZA,UN,400,319.5923,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--412--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 4 1/2 ZA,UN,400,343.583,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--500--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 5 ZA,UN,400,381.0846,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--512--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 5 1/2 ZA,UN,400,416.9286,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--600--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 6 ZA,UN,200,338.1836,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--700--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 7 ZA,UN,200,387.9172,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--1--516--800--RP--1--1,BU CAR C/ TCA. G2 - 5/16 x 8 ZA,UN,200,438.2298,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--134--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 1 3/4 ZA,UN,200,556.5901,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--200--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 2 ZA,UN,200,596.7948,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--212--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 2 1/2 ZA,UN,200,684.1024,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--214--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 2 1/4 ZA,UN,200,637.1525,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--234--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 2 3/4 ZA,UN,200,731.1394,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--300--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 3 ZA,UN,200,754.5524,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--312--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 3 1/2 ZA,UN,200,846.1525,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--314--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 3 1/4 ZA,UN,200,793.7843,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--400--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 4 ZA,UN,200,911.5376,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--512--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 5 1/2 ZA,UN,100,1247.3609,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--600--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 6 ZA,UN,100,1357.4499,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--700--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 7 ZA,UN,100,1504.1957,2025-09-24,borroni,FIJACIONES
BUL,CAT-G2--3--102--800--RT--1--1,BU CAR C/ TCA. G2 - 1/2 x 8 ZA,UN,100,1688.1605,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--212--RP--2--2,BU HEX - A/325 - 1 x 2 1/2 RP ZD,UN,35,4834.4851,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--214--RP--2--2,BU HEX - A/325 - 1 x 2 1/4 RP ZD,UN,40,4505.3148,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--234--RP--2--2,BU HEX - A/325 - 1 x 2 3/4 RP ZD,UN,35,5114.4124,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--300--RP--2--2,BU HEX - A/325 - 1 x  3 RP ZD,UN,35,5443.0662,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--312--RP--2--2,BU HEX - A/325 - 1 x  3  1/2 RP ZD,UN,30,5990.8366,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--400--RP--2--2,BU HEX - A/325 - 1 x 4 RP ZD,UN,25,6575.294,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--412--RP--2--2,BU HEX - A/325 - 1 x 4 1/2 RP ZD,UN,25,7207.6167,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--100--500--RP--2--2,BU HEX - A/325 - 1 x 5 RP ZD,UN,30,7792.9567,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--112--RT--2--2,BU HEX - A/325 - 1/2 x 1 1/2 RT ZD,UN,275,696.2209,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--114--RT--2--2,BU HEX - A/325 - 1/2 x 1 1/4 RT ZD,UN,325,620.6338,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--134--RT--2--2,BU HEX - A/325 - 1/2 x 1 3/4 RT ZD,UN,250,768.4973,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--200--RT--2--2,BU HEX - A/325 - 1/2 x 2 RT ZD,UN,200,846.2842,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--212--RP--2--2,BU HEX - A/325 - 1/2 x 2 1/2 RP ZD,UN,170,998.5631,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--214--RP--2--2,BU HEX - A/325 - 1/2 x 2 1/4 RP ZD,UN,200,922.9711,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--234--RP--2--2,BU HEX - A/325 - 1/2 x 2 3/4 RP ZD,UN,150,1077.4476,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--300--RP--2--2,BU HEX - A/325 - 1/2 x 3 RP ZD,UN,125,1150.3245,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--102--312--RP--2--2,BU HEX - A/325 - 1/2 x 3 1/2 RP ZD,UN,125,1303.1051,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--134--RT--2--2,BU HEX - A/325 - 3/4 x 1 3/4 RT ZD,UN,100,1984.5463,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--200--RT--2--2,BU HEX - A/325 - 3/4 x  2 RT ZD,UN,85,2155.4257,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--212--RP--2--2,BU HEX - A/325 - 3/4 x 2 1/2 RP ZD,UN,70,2508.1939,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--214--RP--2--2,BU HEX - A/325 - 3/4 x 2 1/4 RP ZD,UN,80,2325.7828,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--234--RP--2--2,BU HEX - A/325 - 3/4 x 2 3/4 RP ZD,UN,70,2679.0743,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--300--RP--2--2,BU HEX - A/325 - 3/4 x 3 RP ZD,UN,60,2849.432,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--312--RP--2--2,BU HEX - A/325 - 3/4 x 3 1/2RP ZD,UN,55,3178.0888,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--400--RP--2--2,BU HEX - A/325 - 3/4 x 4 RP ZD,UN,50,3519.3253,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--412--RP--2--2,BU HEX - A/325 - 3/4 x 4  1/2RP ZD,UN,50,3872.1117,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--304--500--RP--2--2,BU HEX - A/325 - 3/4 x 5 RP ZD,UN,45,4225.3955,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--316--012--RT--1--2,BU HEX G2 UNC - 3/16  x 1/2 RT ZA,UN,4000,18.8438,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--316--100--RT--1--1,BU HEX G2 UNC - 3/16  x 1 RT ZA,UN,3200,28.8261,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--316--112--RT--1--1,BU HEX G2 UNC - 3/16  x 1 1/2 RT ZA,UN,2400,37.732,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--316--114--RT--1--1,BU HEX G2 UNC - 3/16  x 1 1/4 RT ZA,UN,2400,32.1631,2025-09-24,borroni,FIJACIONES
BUL,HEX-00--1--316--134--RT--1--1,BU HEX G2 UNC - 3/16  x 1 3/4 RT ZA,UN,2400,40.8544,2025-09-24,borroni,FIJACIONES
