codigo,descripcion_original,descripcion_borroni,score,estado
>TUHG2MB18D,"TUERCA HEXAGONAL G2 M18-1,5 DICRO",,0.0,SIN_MATCH
>TUHG2MB20D,"TUERCA HEXAGONAL G2 M20-1,5 DICRO",,0.0,SIN_MATCH
>TUHG2MB22D,"TUERCA HEXAGONAL G2 M22-1,5 DICRO",,0.0,SIN_MATCH
>TUHG2MB24D,TUERCA HEXAGONAL G2 M24-2 DICRO,,0.0,SIN_MATCH
>BHG2NC047012Z,BULON HEXAGONAL G2 3/16-UNC-1/2 ZINC,,0.0,SIN_MATCH
>BHG2NC047016Z,BULON HEXAGONAL G2 3/16-UNC-5/8 ZINC,,0.0,SIN_MATCH
>BHG2NC047019Z,BULON HEXAGONAL G2 3/16-UNC-3/4 ZINC,,0.0,SIN_MATCH
>BHG2NC047022Z,BULON HEXAGONAL G2 3/16-UNC-7/8 ZINC,,0.0,SIN_MATCH
>BHG2NC047025Z,BULON HEXAGONAL G2 3/16-UNC-1 ZINC,,0.0,SIN_MATCH
>BHG2NC047032Z,"BULON HEXAGONAL G2 3/16-UNC-1,1/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.658,MATCH
>BHG2NC047038Z,"BULON HEXAGONAL G2 3/16-UNC-1,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.658,MATCH
>BHG2NC047044Z,"BULON HEXAGONAL G2 3/16-UNC-1,3/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.3/4,0.658,MATCH
>BHG2NC047050Z,BULON HEXAGONAL G2 3/16-UNC-2 ZINC,,0.0,SIN_MATCH
>BHG2NC065009Z,BULON HEXAGONAL G2 1/4-UNC-3/8 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.703,MATCH
>BHG2NC065012Z,BULON HEXAGONAL G2 1/4-UNC-1/2 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.703,MATCH
>BHG2NC065016Z,BULON HEXAGONAL G2 1/4-UNC-5/8 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.703,MATCH
>BHG2NC065019Z,BULON HEXAGONAL G2 1/4-UNC-3/4 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.703,MATCH
>BHG2NC065022Z,BULON HEXAGONAL G2 1/4-UNC-7/8 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.703,MATCH
>BHG2NC065025Z,BULON HEXAGONAL G2 1/4-UNC-1 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC065032Z,"BULON HEXAGONAL G2 1/4-UNC-1,1/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.767,MATCH
>BHG2NC065038Z,"BULON HEXAGONAL G2 1/4-UNC-1,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.74,MATCH
>BHG2NC065044Z,"BULON HEXAGONAL G2 1/4-UNC-1,3/4 ZINC",BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1.1/4,0.702,MATCH
>BHG2NC065050Z,BULON HEXAGONAL G2 1/4-UNC-2 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC065056Z,"BULON HEXAGONAL G2 1/4-UNC-2,1/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.767,MATCH
>BHG2NC065063Z,"BULON HEXAGONAL G2 1/4-UNC-2,1/2 ZINC",BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1.1/4,0.727,MATCH
>BHG2NC065070Z,"BULON HEXAGONAL G2 1/4-UNC-2,3/4 ZINC",BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3.1/4,0.727,MATCH
>BHG2NC065076Z,BULON HEXAGONAL G2 1/4-UNC-3 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC065082Z,"BULON HEXAGONAL G2 1/4-UNC-3,1/4 ZINC",BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 3.1/4,0.727,MATCH
>BHG2NC065090Z,"BULON HEXAGONAL G2 1/4-UNC-3,1/2 ZINC",BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1.1/4,0.702,MATCH
>BHG2NC065100Z,BULON HEXAGONAL G2 1/4-UNC-4 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC065110Z,"BULON HEXAGONAL G2 1/4-UNC-4,1/2 ZINC",BULON HEXAGONAL ZINCADO UNC - WHIT - GRADO 2 1.1/4,0.702,MATCH
>BHG2NC065125Z,BULON HEXAGONAL G2 1/4-UNC-5 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC065140Z,"BULON HEXAGONAL G2 1/4-UNC-5,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.767,MATCH
>BHG2NC065155Z,BULON HEXAGONAL G2 1/4-UNC-6 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC065175Z,BULON HEXAGONAL G2 1/4-UNC-7 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 2.1/4,0.72,MATCH
>BHG2NC079012Z,BULON HEXAGONAL G2 5/16-UNC-1/2 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.676,MATCH
>BHG2NC079016Z,BULON HEXAGONAL G2 5/16-UNC-5/8 ZINC,,0.0,SIN_MATCH
>BHG2NC079019Z,BULON HEXAGONAL G2 5/16-UNC-3/4 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.3/4,0.676,MATCH
>BHG2NC079022Z,BULON HEXAGONAL G2 5/16-UNC-7/8 ZINC,,0.0,SIN_MATCH
>BHG2NC079032Z,"BULON HEXAGONAL G2 5/16-UNC-1,1/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.658,MATCH
>BHG2NC079038Z,"BULON HEXAGONAL G2 5/16-UNC-1,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.658,MATCH
>BHG2NC079044Z,"BULON HEXAGONAL G2 5/16-UNC-1,3/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.658,MATCH
>BHG2NC079050Z,BULON HEXAGONAL G2 5/16-UNC-2 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.667,MATCH
>BHG2NC079056Z,"BULON HEXAGONAL G2 5/16-UNC-2,1/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.658,MATCH
>BHG2NC079063Z,"BULON HEXAGONAL G2 5/16-UNC-2,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.658,MATCH
>BHG2NC079070Z,"BULON HEXAGONAL G2 5/16-UNC-2,3/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.3/4,0.658,MATCH
>BHG2NC079076Z,BULON HEXAGONAL G2 5/16-UNC-3 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.3/4,0.667,MATCH
>BHG2NC079082Z,"BULON HEXAGONAL G2 5/16-UNC-3,1/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.658,MATCH
>BHG2NC079090Z,"BULON HEXAGONAL G2 5/16-UNC-3,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.658,MATCH
>BHG2NC079096Z,"BULON HEXAGONAL G2 5/16-UNC-3,3/4 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.3/4,0.658,MATCH
>BHG2NC079100Z,BULON HEXAGONAL G2 5/16-UNC-4 ZINC,BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/4,0.667,MATCH
>BHG2NC079110Z,"BULON HEXAGONAL G2 5/16-UNC-4,1/2 ZINC",BULON HEXAGONAL - UNC - WHIT - GRADO 5 1.1/2,0.658,MATCH
