codigo,tipo,diametro,paso,largo,grado,sistema,precio_unitario,proveedor,descripcion
codigo,otro,,,,,metrico,precio_unitario,proveedor,descripcion
AC8X200,allen,8,1.25,200,12.9,metrico,3210.0,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 200 12.9"
AC10X16,allen,10,1.50,16,12.9,metrico,303.88,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 16 12.9"
AC10X20,allen,10,1.50,20,12.9,metrico,307.09,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 20 12.9"
AC10X25,allen,10,1.50,25,12.9,metrico,312.44,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 25 12.9"
AC10X30,allen,10,1.50,30,12.9,metrico,329.56,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 30 12.9"
AC10X35,allen,10,1.50,35,12.9,metrico,363.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 35 12.9"
AC10X40,allen,10,1.50,40,12.9,metrico,437.63,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 40 12.9"
AC10X45,allen,10,1.50,45,12.9,metrico,462.24,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 45 12.9"
AC10X50,allen,10,1.50,50,12.9,metrico,485.78,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 50 12.9"
AC10X60,allen,10,1.50,60,12.9,metrico,548.91,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 60 12.9"
AC10X70,allen,10,1.50,70,12.9,metrico,677.31,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 70 12.9"
AC10X80,allen,10,1.50,80,12.9,metrico,832.46,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 80 12.9"
AC10X90,allen,10,1.50,90,12.9,metrico,924.48,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 90 12.9"
AC10X100,allen,10,1.50,100,12.9,metrico,963.0,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 100 12.9"
AC10X110,allen,10,1.50,110,12.9,metrico,1091.4,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 110 12.9"
AC10X120,allen,10,1.50,120,12.9,metrico,1308.61,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 120 12.9"
AC10X130,allen,10,1.50,130,12.9,metrico,1444.5,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 130 12.9"
AC10X140,allen,10,1.50,140,12.9,metrico,1674.55,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 140 12.9"
AC10X150,allen,10,1.50,150,12.9,metrico,2022.3,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 150 12.9"
AC10X160,allen,10,1.50,160,12.9,metrico,2600.1,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 160 12.9"
AC10X180,allen,10,1.50,180,12.9,metrico,3033.45,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 180 12.9"
AC10X200,allen,10,1.50,200,12.9,metrico,3466.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 200 12.9"
AC12X20,allen,12,1.75,20,12.9,metrico,452.61,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 20 12.9"
AC12X25,allen,12,1.75,25,12.9,metrico,453.68,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 25 12.9"
AC12X30,allen,12,1.75,30,12.9,metrico,508.25,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 30 12.9"
AC12X35,allen,12,1.75,35,12.9,metrico,548.91,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 35 12.9"
AC12X40,allen,12,1.75,40,12.9,metrico,591.71,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 40 12.9"
AC12X45,allen,12,1.75,45,12.9,metrico,631.3,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 45 12.9"
AC12X50,allen,12,1.75,50,12.9,metrico,674.1,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 50 12.9"
AC12X60,allen,12,1.75,60,12.9,metrico,807.85,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 60 12.9"
AC12X70,allen,12,1.75,70,12.9,metrico,928.76,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 70 12.9"
AC12X80,allen,12,1.75,80,12.9,metrico,982.26,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 80 12.9"
AC12X90,allen,12,1.75,90,12.9,metrico,1089.26,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 90 12.9"
AC12X100,allen,12,1.75,100,12.9,metrico,1193.05,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 100 12.9"
AC12X110,allen,12,1.75,110,12.9,metrico,1498.0,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 110 12.9"
AC12X120,allen,12,1.75,120,12.9,metrico,1704.51,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 120 12.9"
AC12X130,allen,12,1.75,130,12.9,metrico,1733.4,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 130 12.9"
AC12X140,allen,12,1.75,140,12.9,metrico,1993.41,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 140 12.9"
AC12X150,allen,12,1.75,150,12.9,metrico,2137.86,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 150 12.9"
AC12X160,allen,12,1.75,160,12.9,metrico,3177.9,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 160 12.9"
AC12X180,allen,12,1.75,180,12.9,metrico,3466.8,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 180 12.9"
AC12X200,allen,12,1.75,200,12.9,metrico,4622.4,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 200 12.9"
AC14X30,allen,14,2.00,30,12.9,metrico,895.59,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 30 12.9"
AC14X35,allen,14,2.00,35,12.9,metrico,953.37,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 35 12.9"
AC14X40,allen,14,2.00,40,12.9,metrico,1097.82,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 40 12.9"
AC14X45,allen,14,2.00,45,12.9,metrico,1155.6,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 45 12.9"
AC14X50,allen,14,2.00,50,12.9,metrico,1328.94,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 50 12.9"
AC14X60,allen,14,2.00,60,12.9,metrico,1415.61,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 60 12.9"
AC14X70,allen,14,2.00,70,12.9,metrico,1473.39,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 70 12.9"
