codigo,descripcion,precio_unitario,proveedor
AC10X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 150 12.9",2022.3,trusoni
AC10X160,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 160 12.9",2600.1,trusoni
AC10X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 180 12.9",3033.45,trusoni
AC10X200,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 200 12.9",3466.8,trusoni
AC12X20,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 20 12.9",452.61,trusoni
AC12X25,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 25 12.9",453.68,trusoni
AC12X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 30 12.9",508.25,trusoni
AC12X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 35 12.9",548.91,trusoni
AC12X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 40 12.9",591.71,trusoni
AC12X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 45 12.9",631.3,trusoni
AC12X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 50 12.9",674.1,trusoni
AC12X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 60 12.9",807.85,trusoni
AC12X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 70 12.9",928.76,trusoni
AC12X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 80 12.9",982.26,trusoni
AC12X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 90 12.9",1089.26,trusoni
AC12X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 100 12.9",1193.05,trusoni
AC12X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 110 12.9",1498.0,trusoni
AC12X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 120 12.9",1704.51,trusoni
AC12X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 130 12.9",1733.4,trusoni
AC12X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 140 12.9",1993.41,trusoni
AC12X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 150 12.9",2137.86,trusoni
AC12X160,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 160 12.9",3177.9,trusoni
AC12X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 180 12.9",3466.8,trusoni
AC12X200,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 12 x 1,75 x 200 12.9",4622.4,trusoni
AC14X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 30 12.9",895.59,trusoni
AC14X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 35 12.9",953.37,trusoni
AC14X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 40 12.9",1097.82,trusoni
AC14X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 45 12.9",1155.6,trusoni
AC14X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 50 12.9",1328.94,trusoni
AC14X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 60 12.9",1415.61,trusoni
AC14X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 70 12.9",1473.39,trusoni
AC14X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 80 12.9",1531.17,trusoni
AC14X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 90 12.9",1713.07,trusoni
AC14X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 100 12.9",1858.89,trusoni
AC14X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 110 12.9",1964.52,trusoni
AC14X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 120 12.9",2049.05,trusoni
AC14X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 130 12.9",2311.2,trusoni
AC14X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 140 12.9",2600.1,trusoni
AC14X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 150 12.9",2889.0,trusoni
AC14X160,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 160 12.9",4333.5,trusoni
AC14X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 180 12.9",5200.2,trusoni
AC14X200,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 200 12.9",6644.7,trusoni
AC14X250,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 250 12.9",14156.1,trusoni
AC14X300,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 14 x 2,00 x 300 12.9",15889.5,trusoni
AC16X30,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 30 12.9",1068.93,trusoni
AC16X35,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 35 12.9",1155.6,trusoni
AC16X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 40 12.9",1242.27,trusoni
AC16X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 45 12.9",1328.94,trusoni
AC16X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 50 12.9",1415.61,trusoni
AC16X55,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 55 12.9",1612.49,trusoni
AC16X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 60 12.9",1669.2,trusoni
AC16X70,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 70 12.9",1962.38,trusoni
AC16X80,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 80 12.9",2051.19,trusoni
AC16X90,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 90 12.9",2224.53,trusoni
AC16X100,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 100 12.9",2397.87,trusoni
AC16X110,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 110 12.9",2744.55,trusoni
AC16X120,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 120 12.9",3062.34,trusoni
AC16X130,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 130 12.9",3235.68,trusoni
AC16X140,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 140 12.9",3755.7,trusoni
AC16X150,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 150 12.9",4911.3,trusoni
AC16X160,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 160 12.9",5489.1,trusoni
AC16X180,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 180 12.9",5885.0,trusoni
AC16X200,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 200 12.9",6420.0,trusoni
AC16X250,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 250 12.9",10978.2,trusoni
AC16X300,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 16 x 2,00 x 300 12.9",13867.2,trusoni
AC18X40,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 18 x 2,50 x 40 12.9",2686.77,trusoni
AC18X45,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 18 x 2,50 x 45 12.9",2831.22,trusoni
AC18X50,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 18 x 2,50 x 50 12.9",3735.68,trusoni
AC18X55,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 18 x 2,50 x 55 12.9",3351.24,trusoni
AC18X60,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 18 x 2,50 x 60 12.9",3409.02,trusoni
