codigo,tipo,forma,diametro,paso,largo,grado,sistema,acabado,precio_unitario,proveedor,descripcion
AC8X16,tornillo_allen,cilindrica,8,1.25,16,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 16 12.9"
AC8X180,tornillo_allen,cilindrica,8,1.25,18,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 18 12.9"
AC8X20,tornillo_allen,cilindrica,8,1.25,20,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 20 12.9"
AC8X25,tornillo_allen,cilindrica,8,1.25,25,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 25 12.9"
AC8X30,tornillo_allen,cilindrica,8,1.25,30,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 30 12.9"
AC8X35,tornillo_allen,cilindrica,8,1.25,35,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 35 12.9"
AC8X40,tornillo_allen,cilindrica,8,1.25,40,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 40 12.9"
AC8X45,tornillo_allen,cilindrica,8,1.25,45,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 45 12.9"
AC8X50,tornillo_allen,cilindrica,8,1.25,50,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 50 12.9"
AC8X55,tornillo_allen,cilindrica,8,1.25,55,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 55 12.9"
AC8X60,tornillo_allen,cilindrica,8,1.25,60,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 60 12.9"
AC8X70,tornillo_allen,cilindrica,8,1.25,70,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 70 12.9"
AC8X80,tornillo_allen,cilindrica,8,1.25,80,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 80 12.9"
AC8X90,tornillo_allen,cilindrica,8,1.25,90,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 90 12.9"
AC8X100,tornillo_allen,cilindrica,8,1.25,100,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 100 12.9"
AC8X110,tornillo_allen,cilindrica,8,1.25,110,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 110 12.9"
AC8X120,tornillo_allen,cilindrica,8,1.25,120,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 120 12.9"
AC8X130,tornillo_allen,cilindrica,8,1.25,130,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 130 12.9"
AC8X140,tornillo_allen,cilindrica,8,1.25,140,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 140 12.9"
AC8X150,tornillo_allen,cilindrica,8,1.25,150,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 150 12.9"
AC8X160,tornillo_allen,cilindrica,8,1.25,160,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 160 12.9"
AC8X170,tornillo_allen,cilindrica,8,1.25,170,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 170 12.9"
AC8X180,tornillo_allen,cilindrica,8,1.25,180,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 180 12.9"
AC8X200,tornillo_allen,cilindrica,8,1.25,200,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 8 x 1,25 x 200 12.9"
AC10X16,tornillo_allen,cilindrica,10,1.50,16,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 16 12.9"
AC10X20,tornillo_allen,cilindrica,10,1.50,20,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 20 12.9"
AC10X25,tornillo_allen,cilindrica,10,1.50,25,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 25 12.9"
AC10X30,tornillo_allen,cilindrica,10,1.50,30,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 30 12.9"
AC10X35,tornillo_allen,cilindrica,10,1.50,35,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 35 12.9"
AC10X40,tornillo_allen,cilindrica,10,1.50,40,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 40 12.9"
AC10X45,tornillo_allen,cilindrica,10,1.50,45,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 45 12.9"
AC10X50,tornillo_allen,cilindrica,10,1.50,50,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 50 12.9"
AC10X60,tornillo_allen,cilindrica,10,1.50,60,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 60 12.9"
AC10X70,tornillo_allen,cilindrica,10,1.50,70,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 70 12.9"
AC10X80,tornillo_allen,cilindrica,10,1.50,80,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 80 12.9"
AC10X90,tornillo_allen,cilindrica,10,1.50,90,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 90 12.9"
AC10X100,tornillo_allen,cilindrica,10,1.50,100,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 100 12.9"
AC10X110,tornillo_allen,cilindrica,10,1.50,110,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 110 12.9"
AC10X120,tornillo_allen,cilindrica,10,1.50,120,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 120 12.9"
AC10X130,tornillo_allen,cilindrica,10,1.50,130,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 130 12.9"
AC10X140,tornillo_allen,cilindrica,10,1.50,140,12.9,metrico,,trusoni,trusoni,"TORNILLO ALLEN CAB. CILINDRICA CALIDAD 12.9 DIN 912 Cil 10 x 1,50 x 140 12.9"
